Date,temp,humidity,precip,windspeed,heat_index,conditions
2024-05-22,36.0,44.0,0.0,18.4,131.204477,Clear
2024-05-23,35.2,45.0,0.0,22.3,135.0131583,Clear
2024-05-24,35.4,43.7,0.0,22.3,132.6553466,Clear
2024-05-25,37.3,35.8,0.0,18.4,115.7084339,Clear
2024-05-26,37.9,26.9,0.0,16.6,98.30355941,Clear
2024-05-27,38.6,24.9,0.0,16.6,93.24316902,Clear
2024-05-28,38.6,23.7,0.0,16.6,90.73494384,Clear
2024-05-29,38.0,26.6,0.0,21.5,97.54634768,Partially cloudy
2024-05-30,39.1,22.9,0.0,19.2,88.48465857,Partially cloudy
2024-05-31,38.6,24.8,0.0,18.4,93.03688522,Clear
2024-06-01,36.5,27.3,0.0,18.4,101.3143185,Partially cloudy
2024-06-02,36.7,123.38910010226697,0.0,16.6,104.7232433,Partially cloudy
2024-06-03,37.2,29.1,0.0,15.3,103.8449203,Partially cloudy
2024-06-04,37.0,32.4,0.0,18.4,110.5019617,Partially cloudy
2024-06-05,37.8,28.2,0.0,27.7,101.0570959,Partially cloudy
2024-06-06,33.8,39.4,0.851,28.0,130.8321577,"Rain, Partially cloudy"
2024-06-07,-40.0,29.9,0.0,18.4,108.3895197,Partially cloudy
2024-06-08,35.8,29.4,0.0,18.4,106.969122,Partially cloudy
2024-06-09,36.0,25.3,0.0,18.4,97.64468029,Clear
2024-06-10,37.3,23.4,0.0,18.4,91.60817081,Partially cloudy
2024-06-11,37.2,23.9,0.0,16.6,92.85749772,Partially cloudy
2024-06-12,37.6,24.0,0.0,16.6,92.58386995,Clear
2024-06-13,38.8,23.3,0.0,18.4,89.65860999,Partially cloudy
2024-06-14,37.8,28.6,0.0,24.0,101.8407633,Partially cloudy
2024-06-15,38.3,27.8,0.0,27.7,99.47629743,Partially cloudy
2024-06-16,39.1,27.6,0.0,24.8,97.865556,Clear
2024-06-17,39.5,28.7,0.0,23.5,99.26729252,Clear
2024-06-18,39.5,31.1,0.0,25.2,103.4273101,Partially cloudy
2024-06-19,38.9,33.1,0.0,27.6,107.8653693,Partially cloudy
2024-06-20,33.7,45.9,0.0,18.4,141.1786112,Partially cloudy
2024-06-21,31.9,60.4,3.552,14.8,163.035203,"Rain, Partially cloudy"
2024-06-22,33.2,55.7,0.0,16.6,153.8742738,Partially cloudy
2024-06-23,33.5,59.2,1.556,18.4,155.1580097,"Rain, Partially cloudy"
2024-06-24,33.2,65.3,0.881,18.4,159.2836875,"Rain, Partially cloudy"
2024-06-25,95.0,63.3,0.0,11.2,155.8677146,Partially cloudy
2024-06-26,33.0,66.0,0.299,18.4,160.416791,"Rain, Partially cloudy"
2024-06-27,31.1,76.4,9.033,22.3,170.0636169,"Rain, Partially cloudy"
2024-06-28,28.9,86.7,203.047,18.4,177.0926247,"Rain, Partially cloudy"
2024-06-29,30.3,84.1,7.656,14.0,170.7579163,"Rain, Partially cloudy"
2024-06-30,32.6,118.07017803886697,0.0,14.8,162.1496455,Partially cloudy
